,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
13,9.0,8.0,0.01,89.0,37.0,36.0,34.0,29.54,29.56,29.56,-2.45e-16,1.0,1,0,0,2013,3,25,2054,115,2256,91,FL,N919AT,645,LGA,ATL,104,762,20,54
14,10.0,9.0,0.0,32.0,65.0,50.0,34.0,30.1,30.12,30.12,-0.866025,-0.5,0,1,0,2013,10,21,1217,-4,1322,-6,B6,N192JB,34,JFK,BTV,46,266,12,17
15,10.0,15.0,0.0,33.0,17.0,12.0,-7.0,30.2,30.22,30.22,-0.866025,0.5,1,0,0,2013,1,23,2024,37,2141,29,EV,N17115,4412,EWR,BUF,53,282,20,24
16,10.0,15.0,0.0,73.0,34.0,31.0,26.0,30.15,30.17,30.17,0.642788,0.766044,0,1,0,2013,2,8,644,-1,817,20,EV,N14916,4241,EWR,DCA,45,199,6,44
17,10.0,10.0,0.0,55.0,68.0,58.0,51.0,30.02,30.05,30.04,-0.34202,0.939693,1,0,0,2013,8,5,757,-3,1041,-23,DL,N380DA,1271,JFK,FLL,131,1069,7,57
18,10.0,7.0,0.0,57.0,56.0,49.0,41.0,30.15,30.17,30.17,-0.866025,-0.5,1,0,0,2013,10,21,859,-1,1036,11,UA,N57852,1030,EWR,ORD,121,719,8,59
19,10.0,7.0,0.0,57.0,74.0,64.0,58.0,30.13,30.15,30.15,0.984808,-0.173648,0,1,0,2013,8,18,1638,8,1942,-17,VX,N849VA,27,JFK,SFO,334,2586,16,38
20,10.0,8.0,0.0,55.0,54.0,47.0,38.0,30.64,30.66,30.66,0.866025,-0.5,1,0,0,2013,11,5,1126,11,1257,5,EV,N600QX,5273,LGA,PIT,58,335,11,26
21,10.0,7.0,0.0,57.0,39.0,34.0,25.0,30.26,30.28,30.28,0.642788,0.766044,0,1,0,2013,1,15,1626,-3,1941,10,B6,N594JB,369,LGA,PBI,150,1035,16,26
22,10.0,18.0,0.0,45.0,30.0,24.0,11.0,29.84,29.86,29.86,-0.984808,-0.173648,1,0,0,2013,2,1,729,9,1018,-5,UA,N36247,1724,EWR,PBI,154,1023,7,29
23,10.0,16.0,0.0,58.0,82.0,71.0,66.0,29.98,30.0,30.0,-0.984808,-0.173648,1,0,0,2013,7,7,2310,105,201,127,B6,N506JB,97,JFK,DEN,223,1626,23,10
24,10.0,16.0,0.0,65.0,40.0,36.0,29.0,29.95,29.97,29.97,-0.939693,0.34202,0,1,0,2013,1,17,626,-4,846,3,US,N554UW,1433,LGA,CLT,105,544,6,26
25,10.0,8.0,0.0,42.0,76.0,62.0,51.0,30.16,30.18,30.18,1.22e-16,-1.0,1,0,0,2013,8,16,1251,-4,1433,-7,MQ,N720MQ,3388,LGA,CMH,83,479,12,51
26,10.0,16.0,0.0,62.0,41.0,36.0,29.0,30.29,30.31,30.31,-0.5,0.866025,1,0,0,2013,12,7,1154,-6,1356,-4,US,N122US,725,JFK,CLT,101,541,11,54
27,7.0,11.0,0.0,93.0,50.0,49.0,48.0,29.89,29.91,29.91,-0.173648,-0.984808,1,0,0,2013,4,24,2253,123,5,101,EV,N14562,3852,EWR,BUF,53,282,22,53
28,10.0,9.0,0.0,62.0,75.0,66.0,61.0,29.95,29.97,29.97,-0.984808,-0.173648,1,0,0,2013,6,8,1839,-1,2120,-12,DL,N3751B,1629,JFK,LAS,319,2248,18,39
29,10.0,10.0,0.0,60.0,59.0,52.0,45.0,30.21,30.23,30.23,-2.45e-16,1.0,1,0,0,2013,10,8,821,-8,1007,-22,MQ,N528MQ,3478,LGA,DTW,77,502,8,21
30,10.0,15.0,0.07,84.0,63.0,60.0,58.0,29.62,29.64,29.64,-0.866025,-0.5,1,0,0,2013,11,1,1058,-2,1227,-23,WN,N266WN,1341,LGA,BNA,124,764,10,58
31,10.0,7.0,0.0,40.0,64.0,52.0,39.0,30.32,30.34,30.34,-0.766044,0.642788,1,0,0,2013,9,18,933,-7,1037,-43,AA,N514AA,317,LGA,ORD,101,733,9,33
32,10.0,9.0,0.0,74.0,82.0,76.0,73.0,30.2,30.22,30.22,-0.5,-0.866025,1,0,0,2013,7,5,920,5,1204,-6,AA,N328AA,1,JFK,LAX,302,2475,9,20
33,10.0,11.0,0.0,63.0,67.0,60.0,54.0,29.98,30.0,30.0,0.5,0.866025,1,0,0,2013,7,25,752,-3,917,2,MQ,N6EAMQ,3709,EWR,ORD,103,719,7,52
34,10.0,14.0,0.0,64.0,35.0,31.0,24.0,30.15,30.17,30.17,-0.173648,0.984808,0,1,0,2013,12,24,838,38,1104,32,UA,N556UA,561,LGA,DEN,237,1620,8,38
35,4.0,21.0,0.0,85.0,42.0,40.0,38.0,29.88,29.91,29.9,0.984808,0.173648,0,1,0,2013,4,12,840,20,1240,28,B6,N655JB,403,JFK,SJU,186,1598,8,40
36,10.0,11.0,0.0,27.0,53.0,40.0,20.0,29.99,30.01,30.01,-0.939693,0.34202,0,1,0,2013,5,13,1825,-4,2000,-35,DL,N919DE,2131,LGA,DTW,77,502,18,25
37,10.0,10.0,0.0,75.0,26.0,24.0,19.0,29.99,30.01,30.01,-0.642788,0.766044,1,0,0,2013,12,18,730,0,1038,-2,AA,N3KCAA,29,LGA,PBI,140,1035,7,30
38,10.0,3.0,0.0,85.0,76.0,73.0,71.0,29.95,29.97,29.97,0.939693,0.34202,1,0,0,2013,7,21,2231,121,2332,96,9E,N8488D,4218,JFK,PHL,25,94,22,31
39,10.0,8.0,0.0,79.0,76.0,71.0,69.0,30.01,30.04,30.03,-0.766044,-0.642788,0,1,0,2013,8,22,1108,-7,1352,-12,UA,N597UA,703,JFK,LAX,292,2475,11,8
40,10.0,10.0,0.0,41.0,49.0,40.0,26.0,29.84,29.86,29.86,-0.866025,0.5,0,1,0,2013,3,13,1229,89,1342,87,MQ,N511MQ,3792,JFK,DCA,53,213,12,29
41,10.0,10.0,0.0,39.0,53.0,42.0,28.0,30.04,30.06,30.06,-0.984808,0.173648,1,0,0,2013,10,27,1944,15,2112,17,EV,N12569,4224,EWR,MKE,117,725,19,44
42,10.0,7.0,0.0,75.0,32.0,29.0,25.0,29.65,29.68,29.67,-0.173648,-0.984808,0,1,0,2013,3,21,1850,30,2020,25,WN,N280WN,962,LGA,BNA,116,764,18,50
43,10.0,18.0,0.0,79.0,44.0,41.0,38.0,29.38,29.4,29.4,-0.766044,0.642788,0,1,0,2013,11,27,1421,-8,1709,6,B6,N316JB,477,JFK,JAX,148,828,14,21
44,10.0,6.0,0.0,38.0,42.0,34.0,18.0,30.64,30.66,30.66,0.766044,0.642788,1,0,0,2013,11,4,1822,413,2143,434,AA,N3GRAA,1139,LGA,DFW,210,1389,18,22
45,10.0,13.0,0.0,73.0,39.0,36.0,31.0,30.43,30.45,30.45,-0.766044,-0.642788,1,0,0,2013,1,8,902,-3,1006,-17,B6,N281JB,56,JFK,BTV,47,266,9,2
46,10.0,9.0,0.0,57.0,68.0,59.0,52.0,30.17,30.19,30.19,0.34202,-0.939693,0,1,0,2013,9,9,1821,8,2053,-35,UA,N24202,1416,EWR,SNA,307,2434,18,21
47,10.0,13.0,0.0,38.0,49.0,39.0,24.0,29.89,29.91,29.91,-0.642788,0.766044,1,0,0,2013,3,27,1158,-2,1455,-16,DL,N721TW,863,JFK,LAX,336,2475,11,58
48,10.0,13.0,0.0,61.0,32.0,28.0,20.0,29.98,30.0,30.0,-0.766044,0.642788,1,0,0,2013,3,5,756,-4,1011,11,B6,N353JB,219,JFK,CLT,86,541,7,56
49,10.0,7.0,0.0,64.0,34.0,30.0,23.0,30.29,30.31,30.31,-0.984808,0.173648,0,1,0,2013,12,26,958,-7,1141,-14,MQ,N817MQ,3572,LGA,CLE,78,419,9,58
50,10.0,15.0,0.0,89.0,39.0,38.0,36.0,30.0,30.01,30.02,-0.984808,0.173648,1,0,0,2013,12,9,1922,-8,2234,-2,DL,N989DL,1485,LGA,MCO,149,950,19,22
51,10.0,13.0,0.0,53.0,44.0,38.0,28.0,30.03,30.05,30.05,-0.984808,0.173648,1,0,0,2013,11,8,818,8,1114,8,UA,N37409,1148,EWR,TPA,149,997,8,18
52,9.0,20.0,0.0,75.0,54.0,50.0,46.0,29.89,29.91,29.91,0.173648,-0.984808,0,1,0,2013,4,24,1539,-2,1814,-14,UA,N73291,1110,EWR,LAS,316,2227,15,39
53,10.0,5.0,0.0,60.0,28.0,24.0,16.0,30.76,30.78,30.78,0.5,0.866025,1,0,0,2013,11,30,807,-8,1103,-20,B6,N179JB,281,JFK,HOU,214,1428,8,7
54,10.0,7.0,0.0,87.0,58.0,56.0,54.0,30.29,30.31,30.31,-2.45e-16,1.0,1,0,0,2013,9,28,750,-5,849,-21,MQ,N807MQ,3370,JFK,DCA,39,213,7,50
55,9.0,15.0,0.0,94.0,72.0,71.0,70.0,30.02,30.05,30.04,1.22e-16,-1.0,1,0,0,2013,7,1,2007,82,2123,53,AA,N547AA,359,LGA,ORD,112,733,20,7
56,10.0,0.0,0.0,78.0,60.0,56.0,53.0,30.1,30.12,30.12,0.0,1.0,1,0,0,2013,9,29,2003,-2,2108,-22,MQ,N509MQ,3604,EWR,ORD,103,719,20,3
57,10.0,6.0,0.0,56.0,43.0,37.0,28.0,30.31,30.33,30.33,0.766044,0.642788,1,0,0,2013,4,15,625,-5,752,-13,AA,N589AA,303,LGA,ORD,118,733,6,25
58,10.0,9.0,0.0,44.0,84.0,69.0,60.0,29.91,29.94,29.93,0.642788,0.766044,1,0,0,2013,7,21,1012,-8,1149,-17,US,N122US,1501,EWR,CLT,79,529,10,12
59,10.0,5.0,0.0,58.0,57.0,50.0,42.0,30.28,30.3,30.3,-0.984808,-0.173648,1,0,0,2013,10,30,1042,24,1219,4,EV,N11127,4297,EWR,DTW,80,488,10,42
60,10.0,17.0,0.0,38.0,39.0,31.0,15.0,30.13,30.16,30.15,-0.939693,0.34202,1,0,0,2013,2,6,1637,-3,1851,1,MQ,N725MQ,4540,LGA,DTW,92,502,16,37
61,10.0,11.0,0.0,64.0,73.0,65.0,60.0,30.05,30.07,30.07,-0.173648,-0.984808,0,1,0,2013,8,11,2055,11,50,8,UA,N76514,1071,EWR,BQN,196,1585,20,55
62,10.0,16.0,0.0,63.0,67.0,60.0,54.0,30.24,30.26,30.26,1.22e-16,-1.0,1,0,0,2013,6,20,2020,13,2257,-2,B6,N598JB,1505,JFK,ABQ,232,1826,20,20
63,10.0,24.0,0.0,24.0,68.0,50.0,30.0,29.99,30.01,30.01,-0.866025,0.5,1,0,0,2013,5,26,1417,-8,1529,-21,B6,N184JB,8,JFK,BUF,56,301,14,17
64,10.0,16.0,0.0,26.0,77.0,57.0,40.0,29.9,29.92,29.92,-0.5,0.866025,1,0,0,2013,9,8,1818,4,1958,2,UA,N33266,1053,EWR,CLE,65,404,18,18
65,10.0,7.0,0.0,57.0,74.0,64.0,58.0,29.99,30.01,30.01,-0.34202,0.939693,1,0,0,2013,10,2,2243,-7,2359,-8,B6,N183JB,2002,JFK,BUF,58,301,22,43
66,10.0,5.0,0.0,43.0,83.0,67.0,58.0,29.99,30.01,30.01,-0.173648,0.984808,0,1,0,2013,7,26,1433,4,1753,54,MQ,N527MQ,3669,LGA,ATL,115,762,14,33
67,10.0,28.0,0.0,57.0,54.0,47.0,39.0,29.91,29.94,29.93,-0.642788,0.766044,1,0,0,2013,5,25,1610,-5,1827,-13,MQ,N525MQ,4657,LGA,ATL,102,762,16,10
68,9.0,10.0,0.05,89.0,42.0,41.0,39.0,30.08,30.11,30.1,0.173648,0.984808,1,0,0,2013,12,6,2052,-8,2238,32,US,N957UW,2164,LGA,BOS,40,184,20,52
69,10.0,9.0,0.0,66.0,73.0,66.0,61.0,30.14,30.16,30.16,0.766044,-0.642788,1,0,0,2013,8,7,850,-5,1122,-34,UA,N39726,1058,LGA,IAH,177,1416,8,50
70,7.0,21.0,0.04,86.0,37.0,35.0,33.0,29.49,29.51,29.51,0.866025,0.5,0,1,0,2013,3,25,1329,-1,1615,-25,AA,N3JYAA,753,LGA,DFW,206,1389,13,29
71,9.0,7.0,0.0,72.0,83.0,76.0,73.0,29.92,29.94,29.94,-0.34202,-0.939693,0,1,0,2013,7,10,1153,-7,1303,-6,US,N955UW,2126,LGA,BOS,32,184,11,53
72,10.0,24.0,0.0,33.0,25.0,19.0,0.0,30.06,30.08,30.08,-0.939693,0.34202,1,0,0,2013,11,24,553,-7,734,-9,EV,N14923,5824,EWR,CLE,75,404,5,53
73,10.0,5.0,0.0,44.0,35.0,29.0,15.0,30.58,30.6,30.6,0.866025,0.5,1,0,0,2013,11,20,2044,4,2243,-19,EV,N13132,4085,EWR,OMA,163,1134,20,44
74,10.0,17.0,0.0,34.0,37.0,29.0,11.0,30.32,30.34,30.34,-0.766044,0.642788,1,0,0,2013,11,13,1233,-7,1345,-11,9E,N908XJ,3371,LGA,SYR,42,198,12,33
75,9.0,7.0,0.0,71.0,43.0,39.0,34.0,29.96,29.98,29.98,0.5,0.866025,1,0,0,2013,12,3,2126,-4,2229,-16,MQ,N817MQ,3621,JFK,DCA,39,213,21,26
76,10.0,9.0,0.0,57.0,39.0,34.0,25.0,30.27,30.29,30.29,-2.45e-16,1.0,1,0,0,2013,1,15,1947,167,2241,171,AA,N5EGAA,575,JFK,EGE,265,1747,19,47
77,8.0,0.0,0.0,88.0,75.0,72.0,71.0,29.88,29.9,29.9,0.0,1.0,1,0,0,2013,8,28,2153,143,13,109,DL,N387DA,1485,LGA,MCO,116,950,21,53
78,10.0,9.0,0.0,43.0,64.0,52.0,41.0,30.04,30.06,30.06,0.173648,-0.984808,0,1,0,2013,4,8,1325,-5,1608,2,B6,N354JB,127,EWR,MCO,130,937,13,25
79,10.0,18.0,0.0,67.0,82.0,74.0,70.0,29.97,29.99,29.99,-0.173648,-0.984808,0,1,0,2013,7,8,1732,23,2034,40,B6,N565JB,327,EWR,MCO,138,937,17,32
80,10.0,11.0,0.0,62.0,38.0,33.0,26.0,29.84,29.86,29.86,-0.766044,0.642788,0,1,0,2013,1,1,1454,-4,1554,-21,EV,N11544,4390,EWR,PWM,47,284,14,54
81,10.0,14.0,0.0,37.0,43.0,34.0,18.0,30.62,30.63,30.64,0.766044,0.642788,1,0,0,2013,11,4,1022,-8,1139,-5,EV,N18102,6181,EWR,IAD,45,212,10,22
82,10.0,0.0,0.0,60.0,58.0,51.0,44.0,30.25,30.27,30.27,0.0,1.0,1,0,0,2013,5,6,1016,-4,1158,-18,9E,N916XJ,3341,EWR,DTW,80,488,10,16
83,7.0,11.0,0.0,96.0,44.0,44.0,43.0,29.69,29.71,29.71,-0.866025,0.5,0,1,0,2013,2,11,2329,179,312,203,B6,N183JB,1069,JFK,AUS,261,1521,23,29
84,10.0,17.0,0.0,69.0,59.0,54.0,49.0,30.03,30.05,30.05,-0.34202,-0.939693,1,0,0,2013,10,21,2017,-5,2154,-6,UA,N26208,1464,EWR,CLE,68,404,20,17
85,0.5,10.0,0.0,94.0,72.0,71.0,70.0,29.94,29.96,29.96,1.22e-16,-1.0,1,0,0,2013,7,1,758,-2,1154,-6,AA,N5FGAA,655,JFK,STT,198,1623,7,58
86,10.0,13.0,0.0,68.0,67.0,61.0,56.0,30.17,30.19,30.19,1.22e-16,-1.0,0,1,0,2013,9,9,2058,-10,2256,-32,B6,N206JB,775,JFK,MSY,146,1182,20,58
87,10.0,10.0,0.0,51.0,70.0,59.0,51.0,30.24,30.27,30.26,0.766044,-0.642788,0,1,0,2013,9,28,1652,32,2013,33,AA,N3DYAA,1410,LGA,MIA,138,1096,16,52
88,10.0,13.0,0.0,55.0,83.0,71.0,65.0,30.0,30.02,30.02,-0.173648,-0.984808,0,1,0,2013,7,29,1648,7,1909,-4,EV,N14907,3854,EWR,ATL,105,746,16,48
89,10.0,15.0,0.0,25.0,41.0,31.0,8.0,30.26,30.28,30.28,-0.34202,0.939693,1,0,0,2013,4,6,923,-6,1019,-25,EV,N12563,4636,EWR,DCA,41,199,9,23
90,10.0,15.0,0.0,43.0,49.0,40.0,27.0,30.54,30.56,30.56,-0.34202,-0.939693,0,1,0,2013,4,21,1640,-5,1835,-23,9E,N8960A,3881,EWR,CVG,93,569,16,40
91,10.0,13.0,0.0,90.0,65.0,63.0,62.0,29.83,29.85,29.85,-0.34202,-0.939693,1,0,0,2013,6,2,2235,100,118,79,UA,N406UA,492,EWR,FLL,138,1065,22,35
92,10.0,10.0,0.0,74.0,82.0,76.0,73.0,30.24,30.26,30.26,1.22e-16,-1.0,1,0,0,2013,7,4,1125,0,1411,-29,AA,N3BNAA,2099,LGA,MIA,150,1096,11,25
93,10.0,6.0,0.0,76.0,73.0,68.0,65.0,29.97,29.99,29.99,1.22e-16,-1.0,0,1,0,2013,8,1,611,-3,800,-8,US,N107US,2063,JFK,CLT,81,541,6,11
94,10.0,20.0,0.0,61.0,71.0,63.0,57.0,30.24,30.26,30.26,1.22e-16,-1.0,0,1,0,2013,6,20,1729,23,1903,15,EV,N27962,5977,EWR,RDU,68,416,17,29
95,0.25,21.0,0.0,93.0,49.0,48.0,47.0,29.72,29.74,29.74,1.22e-16,-1.0,0,1,0,2013,1,30,1306,-9,1430,-1,EV,N13969,4120,EWR,BUF,61,282,13,6
96,9.0,10.0,0.0,88.0,74.0,71.0,70.0,29.86,29.88,29.88,0.5,-0.866025,1,0,0,2013,6,30,1931,116,2209,99,AA,N3FXAA,1901,JFK,IAH,193,1417,19,31
97,10.0,16.0,0.0,63.0,47.0,42.0,35.0,29.94,29.96,29.96,-1.0,-1.84e-16,1,0,0,2013,12,30,1154,9,1338,23,WN,N961WN,172,LGA,MDW,123,725,11,54
98,10.0,7.0,0.0,61.0,83.0,73.0,68.0,30.16,30.18,30.18,-2.45e-16,1.0,1,0,0,2013,7,17,648,-2,923,-8,B6,N594JB,525,JFK,TPA,132,1005,6,48
99,8.0,14.0,0.03,90.0,60.0,58.0,57.0,29.78,29.8,29.8,-0.984808,-0.173648,0,1,0,2013,11,7,1242,52,1410,45,WN,N423WN,3566,LGA,BNA,130,764,12,42
100,10.0,10.0,0.0,30.0,57.0,44.0,26.0,30.43,30.45,30.45,0.866025,0.5,1,0,0,2013,5,1,848,-2,1220,-28,DL,N721TW,301,JFK,SJU,189,1598,8,48
101,10.0,3.0,0.0,46.0,48.0,40.0,28.0,30.58,30.6,30.6,0.939693,-0.34202,0,1,0,2013,11,21,1153,-2,1415,-10,UA,N803UA,586,EWR,DEN,238,1605,11,53
102,9.0,0.0,0.0,81.0,65.0,61.0,59.0,30.09,30.11,30.11,0.0,1.0,1,0,0,2013,10,3,716,-9,951,-24,AA,N4YSAA,1381,EWR,DFW,184,1372,7,16
103,10.0,6.0,0.0,73.0,69.0,64.0,60.0,30.13,30.15,30.15,1.22e-16,-1.0,1,0,0,2013,6,9,1914,-2,2234,9,UA,N26208,1439,EWR,LAX,317,2454,19,14
104,10.0,11.0,0.0,93.0,68.0,67.0,66.0,29.73,29.75,29.75,-0.642788,-0.766044,0,1,0,2013,6,11,556,-9,911,1,AA,N3EXAA,1837,LGA,MIA,160,1096,5,56
105,10.0,17.0,0.02,89.0,44.0,43.0,41.0,29.78,29.8,29.8,0.866025,0.5,0,1,0,2013,4,12,1336,-4,1653,13,AA,N3DBAA,753,LGA,DFW,210,1389,13,36
106,9.0,13.0,0.0,84.0,67.0,64.0,62.0,29.88,29.9,29.9,-0.173648,-0.984808,0,1,0,2013,6,2,732,-8,943,-21,B6,N368JB,611,JFK,JAX,116,828,7,32
107,10.0,17.0,0.0,56.0,29.0,25.0,15.0,30.33,30.35,30.35,-0.984808,-0.173648,1,0,0,2013,12,11,939,-6,1306,6,AA,N542AA,1223,EWR,DFW,231,1372,9,39
108,10.0,16.0,0.0,75.0,64.0,59.0,56.0,30.03,30.05,30.05,0.642788,0.766044,1,0,0,2013,10,11,1010,10,1257,23,9E,N922XJ,3574,LGA,IND,90,660,10,10
109,10.0,13.0,0.0,46.0,70.0,58.0,48.0,30.07,30.09,30.09,-2.45e-16,1.0,0,1,0,2013,9,16,1730,-5,2008,-2,UA,N27421,1580,EWR,LAS,285,2227,17,30
110,10.0,15.0,0.0,46.0,83.0,68.0,60.0,29.76,29.78,29.78,-0.34202,0.939693,1,0,0,2013,7,24,1641,0,1904,-9,EV,N12996,3854,EWR,ATL,123,746,16,41
111,10.0,11.0,0.0,26.0,60.0,45.0,25.0,30.31,30.33,30.33,0.866025,-0.5,1,0,0,2013,4,30,1742,3,1952,-10,FL,N261AT,722,LGA,ATL,108,762,17,42
112,10.0,11.0,0.0,47.0,40.0,33.0,21.0,29.74,29.76,29.76,-0.173648,0.984808,0,1,0,2013,3,2,1158,-7,1457,4,B6,N584JB,523,EWR,MCO,164,937,11,58
113,10.0,17.0,0.0,57.0,56.0,49.0,41.0,30.25,30.27,30.27,0.642788,-0.766044,0,1,0,2013,5,5,1503,13,1650,15,MQ,N827MQ,4403,JFK,RDU,76,427,15,3
114,7.0,7.0,0.01,70.0,37.0,34.0,28.0,30.22,30.24,30.24,0.939693,-0.34202,0,1,0,2013,11,26,1545,0,1900,-20,AA,N324AA,133,JFK,LAX,334,2475,15,45
115,6.0,3.0,0.0,76.0,74.0,69.0,66.0,30.11,30.13,30.13,-0.866025,-0.5,1,0,0,2013,8,20,800,-2,903,-13,UA,N14731,1199,EWR,BOS,38,200,8,0
116,10.0,14.0,0.0,51.0,26.0,22.0,10.0,30.18,30.2,30.2,-0.642788,0.766044,1,0,0,2013,12,30,2202,292,130,283,B6,N595JB,415,JFK,SFO,361,2586,22,2
117,10.0,9.0,0.0,16.0,65.0,46.0,17.0,30.36,30.38,30.38,-0.173648,0.984808,0,1,0,2013,4,27,1256,-3,1542,-1,UA,N17122,1641,EWR,MCO,133,937,12,56
118,10.0,8.0,0.0,84.0,61.0,58.0,56.0,30.1,30.12,30.12,0.984808,0.173648,1,0,0,2013,5,7,2036,55,2220,34,EV,N14920,4361,EWR,TYS,84,631,20,36
119,10.0,9.0,0.0,45.0,74.0,61.0,51.0,30.28,30.3,30.3,0.173648,0.984808,1,0,0,2013,8,24,1017,12,1113,-7,MQ,N517MQ,3611,EWR,ORD,101,719,10,17
120,10.0,14.0,0.0,77.0,79.0,74.0,71.0,29.98,30.01,30.0,-0.173648,-0.984808,0,1,0,2013,7,9,1822,47,2052,97,WN,N286WN,19,EWR,STL,118,872,18,22
121,10.0,17.0,0.0,57.0,37.0,32.0,23.0,29.81,29.83,29.83,-0.984808,-0.173648,1,0,0,2013,12,15,2149,134,41,123,UA,N36476,1269,EWR,PBI,152,1023,21,49
122,10.0,8.0,0.0,45.0,88.0,72.0,64.0,29.93,29.95,29.95,0.766044,-0.642788,1,0,0,2013,7,21,1223,-7,1345,-7,B6,N266JB,2502,JFK,BUF,57,301,12,23
123,10.0,5.0,0.0,91.0,72.0,70.0,69.0,29.89,29.91,29.91,-0.34202,-0.939693,0,1,0,2013,8,22,2156,164,2341,146,EV,N13975,4509,EWR,CLT,83,529,21,56
124,10.0,26.0,0.0,80.0,55.0,52.0,49.0,30.18,30.2,30.2,0.173648,-0.984808,0,1,0,2013,4,16,1745,8,1937,-7,DL,N320US,2331,LGA,DTW,87,502,17,45
125,10.0,6.0,0.0,29.0,33.0,25.0,4.0,30.44,30.46,30.46,1.0,6.12e-17,0,1,0,2013,2,7,1505,-5,1717,-28,MQ,N638MQ,4309,JFK,IND,112,665,15,5
126,10.0,15.0,0.0,41.0,30.0,24.0,9.0,29.85,29.87,29.87,-1.0,-1.84e-16,1,0,0,2013,2,1,900,-4,1038,-15,UA,N33284,1602,EWR,CLE,70,404,9,0
127,1.75,16.0,0.02,85.0,34.0,32.0,30.0,30.09,30.11,30.11,-0.5,0.866025,1,0,0,2013,11,12,859,0,1237,38,AA,N3FHAA,1121,LGA,DFW,209,1389,8,59
128,10.0,17.0,0.0,38.0,70.0,56.0,43.0,29.99,30.01,30.01,-2.45e-16,1.0,1,0,0,2013,9,8,2013,-2,2234,-10,EV,N14162,4333,EWR,TUL,160,1215,20,13
