,Unnamed: 0,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,month,day,dep_time,dep_delay,arr_time,arr_delay,flight,origin,air_time,distance,hour,minute
46,46,10.0,9.0,0.0,57.0,68.0,59.0,52.0,30.17,30.19,30.19,0.34202,-0.939693,0,1,0,9,9,1821,1,2053,0,1416,2,307,2434,18,21
47,47,10.0,13.0,0.0,38.0,49.0,39.0,24.0,29.89,29.91,29.91,-0.642788,0.766044,1,0,0,3,27,1158,0,1455,0,863,2,336,2475,11,58
48,48,10.0,13.0,0.0,61.0,32.0,28.0,20.0,29.98,30.0,30.0,-0.766044,0.642788,1,0,0,3,5,756,0,1011,1,219,2,86,541,7,56
49,49,10.0,7.0,0.0,64.0,34.0,30.0,23.0,30.29,30.31,30.31,-0.984808,0.173648,0,1,0,12,26,958,0,1141,0,3572,2,78,419,9,58
50,50,10.0,15.0,0.0,89.0,39.0,38.0,36.0,30.0,30.01,30.02,-0.984808,0.173648,1,0,0,12,9,1922,0,2234,0,1485,2,149,950,19,22
51,51,10.0,13.0,0.0,53.0,44.0,38.0,28.0,30.03,30.05,30.05,-0.984808,0.173648,1,0,0,11,8,818,1,1114,1,1148,2,149,997,8,18
52,52,9.0,20.0,0.0,75.0,54.0,50.0,46.0,29.89,29.91,29.91,0.173648,-0.984808,0,1,0,4,24,1539,0,1814,0,1110,2,316,2227,15,39
53,53,10.0,5.0,0.0,60.0,28.0,24.0,16.0,30.76,30.78,30.78,0.5,0.866025,1,0,0,11,30,807,0,1103,0,281,2,214,1428,8,7
54,54,10.0,7.0,0.0,87.0,58.0,56.0,54.0,30.29,30.31,30.31,-2.45e-16,1.0,1,0,0,9,28,750,0,849,0,3370,2,39,213,7,50
55,55,9.0,15.0,0.0,94.0,72.0,71.0,70.0,30.02,30.05,30.04,1.22e-16,-1.0,1,0,0,7,1,2007,1,2123,1,359,2,112,733,20,7
56,56,10.0,0.0,0.0,78.0,60.0,56.0,53.0,30.1,30.12,30.12,0.0,1.0,1,0,0,9,29,2003,0,2108,0,3604,2,103,719,20,3
57,57,10.0,6.0,0.0,56.0,43.0,37.0,28.0,30.31,30.33,30.33,0.766044,0.642788,1,0,0,4,15,625,0,752,0,303,2,118,733,6,25
58,58,10.0,9.0,0.0,44.0,84.0,69.0,60.0,29.91,29.94,29.93,0.642788,0.766044,1,0,0,7,21,1012,0,1149,0,1501,2,79,529,10,12
59,59,10.0,5.0,0.0,58.0,57.0,50.0,42.0,30.28,30.3,30.3,-0.984808,-0.173648,1,0,0,10,30,1042,1,1219,1,4297,2,80,488,10,42
60,60,10.0,17.0,0.0,38.0,39.0,31.0,15.0,30.13,30.16,30.15,-0.939693,0.34202,1,0,0,2,6,1637,0,1851,1,4540,2,92,502,16,37
61,61,10.0,11.0,0.0,64.0,73.0,65.0,60.0,30.05,30.07,30.07,-0.173648,-0.984808,0,1,0,8,11,2055,1,50,1,1071,2,196,1585,20,55
62,62,10.0,16.0,0.0,63.0,67.0,60.0,54.0,30.24,30.26,30.26,1.22e-16,-1.0,1,0,0,6,20,2020,1,2257,0,1505,2,232,1826,20,20
63,63,10.0,24.0,0.0,24.0,68.0,50.0,30.0,29.99,30.01,30.01,-0.866025,0.5,1,0,0,5,26,1417,0,1529,0,8,2,56,301,14,17
64,64,10.0,16.0,0.0,26.0,77.0,57.0,40.0,29.9,29.92,29.92,-0.5,0.866025,1,0,0,9,8,1818,1,1958,1,1053,2,65,404,18,18
65,65,10.0,7.0,0.0,57.0,74.0,64.0,58.0,29.99,30.01,30.01,-0.34202,0.939693,1,0,0,10,2,2243,0,2359,0,2002,2,58,301,22,43
66,66,10.0,5.0,0.0,43.0,83.0,67.0,58.0,29.99,30.01,30.01,-0.173648,0.984808,0,1,0,7,26,1433,1,1753,1,3669,2,115,762,14,33
67,67,10.0,28.0,0.0,57.0,54.0,47.0,39.0,29.91,29.94,29.93,-0.642788,0.766044,1,0,0,5,25,1610,0,1827,0,4657,2,102,762,16,10
68,68,9.0,10.0,0.05,89.0,42.0,41.0,39.0,30.08,30.11,30.1,0.173648,0.984808,1,0,0,12,6,2052,0,2238,1,2164,2,40,184,20,52
69,69,10.0,9.0,0.0,66.0,73.0,66.0,61.0,30.14,30.16,30.16,0.766044,-0.642788,1,0,0,8,7,850,0,1122,0,1058,2,177,1416,8,50
70,70,7.0,21.0,0.04,86.0,37.0,35.0,33.0,29.49,29.51,29.51,0.866025,0.5,0,1,0,3,25,1329,0,1615,0,753,2,206,1389,13,29
71,71,9.0,7.0,0.0,72.0,83.0,76.0,73.0,29.92,29.94,29.94,-0.34202,-0.939693,0,1,0,7,10,1153,0,1303,0,2126,2,32,184,11,53
72,72,10.0,24.0,0.0,33.0,25.0,19.0,0.0,30.06,30.08,30.08,-0.939693,0.34202,1,0,0,11,24,553,0,734,0,5824,2,75,404,5,53
73,73,10.0,5.0,0.0,44.0,35.0,29.0,15.0,30.58,30.6,30.6,0.866025,0.5,1,0,0,11,20,2044,1,2243,0,4085,2,163,1134,20,44
74,74,10.0,17.0,0.0,34.0,37.0,29.0,11.0,30.32,30.34,30.34,-0.766044,0.642788,1,0,0,11,13,1233,0,1345,0,3371,2,42,198,12,33
75,75,9.0,7.0,0.0,71.0,43.0,39.0,34.0,29.96,29.98,29.98,0.5,0.866025,1,0,0,12,3,2126,0,2229,0,3621,2,39,213,21,26
76,76,10.0,9.0,0.0,57.0,39.0,34.0,25.0,30.27,30.29,30.29,-2.45e-16,1.0,1,0,0,1,15,1947,1,2241,1,575,2,265,1747,19,47
77,77,8.0,0.0,0.0,88.0,75.0,72.0,71.0,29.88,29.9,29.9,0.0,1.0,1,0,0,8,28,2153,1,13,1,1485,2,116,950,21,53
78,78,10.0,9.0,0.0,43.0,64.0,52.0,41.0,30.04,30.06,30.06,0.173648,-0.984808,0,1,0,4,8,1325,0,1608,1,127,2,130,937,13,25
79,79,10.0,18.0,0.0,67.0,82.0,74.0,70.0,29.97,29.99,29.99,-0.173648,-0.984808,0,1,0,7,8,1732,1,2034,1,327,2,138,937,17,32
80,80,10.0,11.0,0.0,62.0,38.0,33.0,26.0,29.84,29.86,29.86,-0.766044,0.642788,0,1,0,1,1,1454,0,1554,0,4390,2,47,284,14,54
81,81,10.0,14.0,0.0,37.0,43.0,34.0,18.0,30.62,30.63,30.64,0.766044,0.642788,1,0,0,11,4,1022,0,1139,0,6181,2,45,212,10,22
82,82,10.0,0.0,0.0,60.0,58.0,51.0,44.0,30.25,30.27,30.27,0.0,1.0,1,0,0,5,6,1016,0,1158,0,3341,2,80,488,10,16
83,83,7.0,11.0,0.0,96.0,44.0,44.0,43.0,29.69,29.71,29.71,-0.866025,0.5,0,1,0,2,11,2329,1,312,1,1069,2,261,1521,23,29
84,84,10.0,17.0,0.0,69.0,59.0,54.0,49.0,30.03,30.05,30.05,-0.34202,-0.939693,1,0,0,10,21,2017,0,2154,0,1464,2,68,404,20,17
85,85,0.5,10.0,0.0,94.0,72.0,71.0,70.0,29.94,29.96,29.96,1.22e-16,-1.0,1,0,0,7,1,758,0,1154,0,655,2,198,1623,7,58
86,86,10.0,13.0,0.0,68.0,67.0,61.0,56.0,30.17,30.19,30.19,1.22e-16,-1.0,0,1,0,9,9,2058,0,2256,0,775,2,146,1182,20,58
87,87,10.0,10.0,0.0,51.0,70.0,59.0,51.0,30.24,30.27,30.26,0.766044,-0.642788,0,1,0,9,28,1652,1,2013,1,1410,2,138,1096,16,52
88,88,10.0,13.0,0.0,55.0,83.0,71.0,65.0,30.0,30.02,30.02,-0.173648,-0.984808,0,1,0,7,29,1648,1,1909,0,3854,2,105,746,16,48
89,89,10.0,15.0,0.0,25.0,41.0,31.0,8.0,30.26,30.28,30.28,-0.34202,0.939693,1,0,0,4,6,923,0,1019,0,4636,2,41,199,9,23
90,90,10.0,15.0,0.0,43.0,49.0,40.0,27.0,30.54,30.56,30.56,-0.34202,-0.939693,0,1,0,4,21,1640,0,1835,0,3881,2,93,569,16,40
91,91,10.0,13.0,0.0,90.0,65.0,63.0,62.0,29.83,29.85,29.85,-0.34202,-0.939693,1,0,0,6,2,2235,1,118,1,492,2,138,1065,22,35
92,92,10.0,10.0,0.0,74.0,82.0,76.0,73.0,30.24,30.26,30.26,1.22e-16,-1.0,1,0,0,7,4,1125,0,1411,0,2099,2,150,1096,11,25
93,93,10.0,6.0,0.0,76.0,73.0,68.0,65.0,29.97,29.99,29.99,1.22e-16,-1.0,0,1,0,8,1,611,0,800,0,2063,2,81,541,6,11
94,94,10.0,20.0,0.0,61.0,71.0,63.0,57.0,30.24,30.26,30.26,1.22e-16,-1.0,0,1,0,6,20,1729,1,1903,1,5977,2,68,416,17,29
95,95,0.25,21.0,0.0,93.0,49.0,48.0,47.0,29.72,29.74,29.74,1.22e-16,-1.0,0,1,0,1,30,1306,0,1430,0,4120,2,61,282,13,6
96,96,9.0,10.0,0.0,88.0,74.0,71.0,70.0,29.86,29.88,29.88,0.5,-0.866025,1,0,0,6,30,1931,1,2209,1,1901,2,193,1417,19,31
97,97,10.0,16.0,0.0,63.0,47.0,42.0,35.0,29.94,29.96,29.96,-1.0,-1.84e-16,1,0,0,12,30,1154,1,1338,1,172,2,123,725,11,54
98,98,10.0,7.0,0.0,61.0,83.0,73.0,68.0,30.16,30.18,30.18,-2.45e-16,1.0,1,0,0,7,17,648,0,923,0,525,2,132,1005,6,48
99,99,8.0,14.0,0.03,90.0,60.0,58.0,57.0,29.78,29.8,29.8,-0.984808,-0.173648,0,1,0,11,7,1242,1,1410,1,3566,2,130,764,12,42
100,100,10.0,10.0,0.0,30.0,57.0,44.0,26.0,30.43,30.45,30.45,0.866025,0.5,1,0,0,5,1,848,0,1220,0,301,2,189,1598,8,48
101,101,10.0,3.0,0.0,46.0,48.0,40.0,28.0,30.58,30.6,30.6,0.939693,-0.34202,0,1,0,11,21,1153,0,1415,0,586,2,238,1605,11,53
102,102,9.0,0.0,0.0,81.0,65.0,61.0,59.0,30.09,30.11,30.11,0.0,1.0,1,0,0,10,3,716,0,951,0,1381,2,184,1372,7,16
103,103,10.0,6.0,0.0,73.0,69.0,64.0,60.0,30.13,30.15,30.15,1.22e-16,-1.0,1,0,0,6,9,1914,0,2234,1,1439,2,317,2454,19,14
104,104,10.0,11.0,0.0,93.0,68.0,67.0,66.0,29.73,29.75,29.75,-0.642788,-0.766044,0,1,0,6,11,556,0,911,1,1837,2,160,1096,5,56
105,105,10.0,17.0,0.02,89.0,44.0,43.0,41.0,29.78,29.8,29.8,0.866025,0.5,0,1,0,4,12,1336,0,1653,1,753,2,210,1389,13,36
106,106,9.0,13.0,0.0,84.0,67.0,64.0,62.0,29.88,29.9,29.9,-0.173648,-0.984808,0,1,0,6,2,732,0,943,0,611,2,116,828,7,32
107,107,10.0,17.0,0.0,56.0,29.0,25.0,15.0,30.33,30.35,30.35,-0.984808,-0.173648,1,0,0,12,11,939,0,1306,1,1223,2,231,1372,9,39
108,108,10.0,16.0,0.0,75.0,64.0,59.0,56.0,30.03,30.05,30.05,0.642788,0.766044,1,0,0,10,11,1010,1,1257,1,3574,2,90,660,10,10
109,109,10.0,13.0,0.0,46.0,70.0,58.0,48.0,30.07,30.09,30.09,-2.45e-16,1.0,0,1,0,9,16,1730,0,2008,0,1580,2,285,2227,17,30
110,110,10.0,15.0,0.0,46.0,83.0,68.0,60.0,29.76,29.78,29.78,-0.34202,0.939693,1,0,0,7,24,1641,0,1904,0,3854,2,123,746,16,41
111,111,10.0,11.0,0.0,26.0,60.0,45.0,25.0,30.31,30.33,30.33,0.866025,-0.5,1,0,0,4,30,1742,1,1952,0,722,2,108,762,17,42
112,112,10.0,11.0,0.0,47.0,40.0,33.0,21.0,29.74,29.76,29.76,-0.173648,0.984808,0,1,0,3,2,1158,0,1457,1,523,2,164,937,11,58
113,113,10.0,17.0,0.0,57.0,56.0,49.0,41.0,30.25,30.27,30.27,0.642788,-0.766044,0,1,0,5,5,1503,1,1650,1,4403,2,76,427,15,3
114,114,7.0,7.0,0.01,70.0,37.0,34.0,28.0,30.22,30.24,30.24,0.939693,-0.34202,0,1,0,11,26,1545,0,1900,0,133,2,334,2475,15,45
115,115,6.0,3.0,0.0,76.0,74.0,69.0,66.0,30.11,30.13,30.13,-0.866025,-0.5,1,0,0,8,20,800,0,903,0,1199,2,38,200,8,0
116,116,10.0,14.0,0.0,51.0,26.0,22.0,10.0,30.18,30.2,30.2,-0.642788,0.766044,1,0,0,12,30,2202,1,130,1,415,2,361,2586,22,2
117,117,10.0,9.0,0.0,16.0,65.0,46.0,17.0,30.36,30.38,30.38,-0.173648,0.984808,0,1,0,4,27,1256,0,1542,0,1641,2,133,937,12,56
118,118,10.0,8.0,0.0,84.0,61.0,58.0,56.0,30.1,30.12,30.12,0.984808,0.173648,1,0,0,5,7,2036,1,2220,1,4361,2,84,631,20,36
119,119,10.0,9.0,0.0,45.0,74.0,61.0,51.0,30.28,30.3,30.3,0.173648,0.984808,1,0,0,8,24,1017,1,1113,0,3611,2,101,719,10,17
120,120,10.0,14.0,0.0,77.0,79.0,74.0,71.0,29.98,30.01,30.0,-0.173648,-0.984808,0,1,0,7,9,1822,1,2052,1,19,2,118,872,18,22
121,121,10.0,17.0,0.0,57.0,37.0,32.0,23.0,29.81,29.83,29.83,-0.984808,-0.173648,1,0,0,12,15,2149,1,41,1,1269,2,152,1023,21,49
122,122,10.0,8.0,0.0,45.0,88.0,72.0,64.0,29.93,29.95,29.95,0.766044,-0.642788,1,0,0,7,21,1223,0,1345,0,2502,2,57,301,12,23
123,123,10.0,5.0,0.0,91.0,72.0,70.0,69.0,29.89,29.91,29.91,-0.34202,-0.939693,0,1,0,8,22,2156,1,2341,1,4509,2,83,529,21,56
124,124,10.0,26.0,0.0,80.0,55.0,52.0,49.0,30.18,30.2,30.2,0.173648,-0.984808,0,1,0,4,16,1745,1,1937,0,2331,2,87,502,17,45
125,125,10.0,6.0,0.0,29.0,33.0,25.0,4.0,30.44,30.46,30.46,1.0,6.12e-17,0,1,0,2,7,1505,0,1717,0,4309,2,112,665,15,5
126,126,10.0,15.0,0.0,41.0,30.0,24.0,9.0,29.85,29.87,29.87,-1.0,-1.84e-16,1,0,0,2,1,900,0,1038,0,1602,2,70,404,9,0
127,127,1.75,16.0,0.02,85.0,34.0,32.0,30.0,30.09,30.11,30.11,-0.5,0.866025,1,0,0,11,12,859,0,1237,1,1121,2,209,1389,8,59
128,128,10.0,17.0,0.0,38.0,70.0,56.0,43.0,29.99,30.01,30.01,-2.45e-16,1.0,1,0,0,9,8,2013,0,2234,0,4333,2,160,1215,20,13
129,129,10.0,14.0,0.0,64.0,35.0,31.0,24.0,30.15,30.17,30.17,-0.173648,0.984808,0,1,0,12,24,855,0,1153,1,1162,2,269,1874,8,55
130,130,0.25,16.0,0.0,94.0,75.0,74.0,73.0,29.88,29.91,29.9,0.173648,-0.984808,0,1,0,8,9,948,0,1232,0,1211,2,150,1065,9,48
131,131,10.0,25.0,0.0,35.0,36.0,28.0,11.0,29.88,29.9,29.9,-0.939693,0.34202,0,1,0,3,14,1359,1,1540,0,4577,2,83,544,13,59
132,132,10.0,18.0,0.0,57.0,86.0,74.0,69.0,30.01,30.03,30.03,-0.173648,-0.984808,0,1,0,9,11,1528,0,1728,1,1013,2,134,888,15,28
133,133,10.0,24.0,0.0,42.0,76.0,62.0,51.0,29.78,29.8,29.8,-0.766044,0.642788,1,0,0,6,12,1358,0,1615,0,2247,2,106,762,13,58
134,134,9.0,11.0,0.0,79.0,46.0,43.0,40.0,29.82,29.84,29.84,0.642788,-0.766044,0,1,0,3,31,1810,0,2017,0,3470,2,84,509,18,10
135,135,10.0,5.0,0.0,42.0,26.0,21.0,6.0,30.45,30.47,30.47,0.766044,0.642788,1,0,0,2,7,734,0,1027,0,1889,2,330,2422,7,34
136,136,10.0,18.0,0.0,55.0,36.0,31.0,21.0,29.97,29.99,29.99,-0.984808,-0.173648,1,0,0,1,4,1942,0,2249,0,645,2,333,2586,19,42
137,137,10.0,10.0,0.0,35.0,51.0,40.0,24.0,30.16,30.18,30.18,-0.766044,0.642788,1,0,0,10,25,1857,0,2109,1,5383,2,45,254,18,57
138,138,10.0,5.0,0.0,42.0,25.0,20.0,5.0,30.42,30.44,30.44,-2.45e-16,1.0,1,0,0,2,7,555,0,920,1,135,2,174,1074,5,55
139,139,10.0,18.0,0.0,32.0,27.0,21.0,1.0,30.32,30.34,30.34,-0.766044,0.642788,1,0,0,11,24,1920,0,2218,0,2437,2,146,1096,19,20
140,140,10.0,7.0,0.0,60.0,38.0,33.0,25.0,29.76,29.78,29.78,1.22e-16,-1.0,1,0,0,3,24,2005,1,2248,0,1466,2,315,2454,20,5
141,141,10.0,11.0,0.0,79.0,42.0,39.0,36.0,29.93,29.95,29.95,0.173648,-0.984808,0,1,0,2,15,1818,1,1948,0,551,2,130,764,18,18
142,142,10.0,5.0,0.0,33.0,63.0,49.0,33.0,30.39,30.41,30.41,0.766044,0.642788,0,1,0,9,17,1341,0,1609,0,431,2,182,1372,13,41
143,143,10.0,14.0,0.0,75.0,66.0,61.0,58.0,30.11,30.14,30.13,1.22e-16,-1.0,0,1,0,10,31,1044,0,1356,0,954,2,153,1076,10,44
144,144,10.0,10.0,0.02,78.0,65.0,61.0,58.0,29.74,29.76,29.76,0.766044,-0.642788,0,1,0,6,13,806,0,1045,1,3538,2,157,1029,8,6
145,145,10.0,26.0,0.0,40.0,46.0,37.0,23.0,30.1,30.12,30.12,-0.34202,0.939693,1,0,0,11,19,1629,0,1756,0,2949,2,126,765,16,29
146,146,10.0,11.0,0.0,45.0,44.0,36.0,24.0,29.85,29.87,29.87,-0.984808,0.173648,1,0,0,3,13,2051,1,2150,1,4312,2,45,199,20,51
147,147,10.0,9.0,0.0,29.0,65.0,50.0,32.0,30.37,30.39,30.39,0.766044,0.642788,0,1,0,9,17,1437,0,1736,0,841,2,325,2475,14,37
148,148,10.0,8.0,0.0,59.0,73.0,64.0,58.0,30.24,30.26,30.26,0.939693,-0.34202,1,0,0,8,18,1051,0,1335,0,971,2,148,1076,10,51
149,149,10.0,11.0,0.0,43.0,43.0,35.0,22.0,29.98,30.01,30.0,-0.5,0.866025,1,0,0,3,5,1153,0,1526,1,863,2,343,2475,11,53
150,150,10.0,11.0,0.0,65.0,43.0,38.0,32.0,30.36,30.38,30.38,-0.766044,-0.642788,0,1,0,1,8,1859,0,2158,0,21,2,337,2475,18,59
151,151,10.0,13.0,0.0,25.0,61.0,46.0,25.0,30.16,30.18,30.18,-0.34202,-0.939693,0,1,0,4,25,1638,0,1949,0,139,2,163,1074,16,38
152,152,10.0,13.0,0.0,42.0,65.0,53.0,41.0,29.88,29.9,29.9,-0.984808,-0.173648,0,1,0,10,18,1755,1,2031,1,4705,2,123,746,17,55
