year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,5,2,1846,16,2057,-3,WN,N223WN,1545,EWR,MSY,158,1167,18,46
2013,12,1,1449,-1,1733,-22,AA,N508AA,320,EWR,DFW,197,1372,14,49
2013,1,21,1736,6,1908,13,WN,N703SW,216,EWR,MDW,119,711,17,36
2013,4,11,902,-6,1206,-4,B6,N318JB,1061,JFK,AUS,221,1521,9,2
2013,6,18,941,12,1250,9,B6,N655JB,679,JFK,LAX,340,2475,9,41
2013,2,27,2228,228,2319,179,MQ,N520MQ,3730,EWR,ORD,97,719,22,28
2013,12,24,1246,0,1604,1,DL,N727TW,429,JFK,SLC,297,1990,12,46
2013,1,20,1501,2,1637,12,B6,N198JB,12,JFK,SYR,49,209,15,1
2013,9,22,602,-2,843,-22,UA,N36469,1439,EWR,LAX,322,2454,6,2
2013,1,1,606,-4,837,-8,DL,N3739P,1743,JFK,ATL,128,760,6,6
2013,8,17,1457,-3,1738,-20,B6,N649JB,83,JFK,MCO,131,944,14,57
2013,6,14,1134,4,1402,-13,UA,N13113,1519,EWR,MCO,127,937,11,34
2013,6,19,1020,-5,1237,15,US,N679AW,604,EWR,PHX,293,2133,10,20
2013,8,13,1144,44,1302,27,WN,N450WN,51,LGA,MDW,123,725,11,44
2013,10,26,825,-5,1043,-10,DL,N396DA,1843,JFK,ATL,107,760,8,25
2013,7,14,1320,-5,1417,-15,US,N967UW,1279,LGA,PHL,34,96,13,20
2013,12,3,603,3,840,15,WN,N445WN,1716,LGA,ATL,121,762,6,3
2013,10,3,606,-12,710,-16,EV,N16178,4241,EWR,DCA,39,199,6,6
2013,8,21,824,-1,1036,-28,DL,N396DA,857,JFK,SAN,295,2446,8,24
2013,7,30,1140,-5,1344,4,MQ,N535MQ,3546,LGA,MSP,151,1020,11,40
2013,1,17,554,-6,742,-17,DL,N357NB,731,LGA,DTW,91,502,5,54
2013,7,8,2048,41,2301,2,B6,N637JB,1505,JFK,ABQ,227,1826,20,48
2013,6,1,1329,-1,1527,-20,EV,N755EV,4995,LGA,MCI,153,1107,13,29
2013,5,13,2015,0,2223,3,EV,N17138,4370,EWR,CHS,89,628,20,15
2013,8,31,1522,-7,1826,-25,DL,N963DL,2280,JFK,FLL,142,1069,15,22
2013,11,2,1926,-4,2222,-27,DL,N3772H,795,JFK,SLC,279,1990,19,26
2013,4,12,657,-3,930,-1,DL,N670DN,1547,LGA,ATL,116,762,6,57
2013,10,21,855,-5,1010,-9,US,N963UW,2140,LGA,BOS,38,184,8,55
2013,4,28,1653,-6,1933,-26,AA,N554AA,1905,EWR,DFW,192,1372,16,53
2013,8,20,637,12,750,10,WN,N8605E,1708,LGA,MDW,112,725,6,37
2013,11,21,2018,3,2301,-11,UA,N485UA,479,EWR,IAH,199,1400,20,18
2013,8,30,1724,-5,1816,-32,B6,N368JB,1438,JFK,MVY,38,173,17,24
2013,4,29,1649,44,2011,47,DL,N361NW,1373,JFK,MIA,166,1089,16,49
2013,5,31,1002,-13,1147,-20,US,N745VJ,1444,JFK,CLT,75,541,10,2
2013,6,6,1157,-3,1503,-4,UA,N505UA,580,JFK,SFO,333,2586,11,57
2013,2,16,1157,-3,1438,8,MQ,N500MQ,4658,LGA,ATL,118,762,11,57
2013,4,3,1416,26,1618,21,EV,N12122,4687,EWR,CVG,102,569,14,16
2013,4,1,1120,-5,1242,-23,AA,N3GGAA,327,LGA,ORD,115,733,11,20
2013,7,21,1931,27,2128,21,EV,N11548,4326,EWR,CLT,78,529,19,31
2013,3,28,1022,-7,1245,-23,DL,N3742C,1529,JFK,LAS,303,2248,10,22
2013,7,30,2133,4,2318,-8,EV,N14972,4700,EWR,CLT,78,529,21,33
2013,11,5,1215,-4,1407,-9,EV,N14959,3806,EWR,DAY,88,533,12,15
2013,4,9,2031,-1,2350,-13,B6,N506JB,677,JFK,LAX,352,2475,20,31
2013,8,29,1251,11,1523,-22,WN,N955WN,42,LGA,HOU,179,1428,12,51
2013,11,3,841,-4,1055,-15,MQ,N502MQ,3419,LGA,ATL,106,762,8,41
2013,11,26,638,-7,925,18,B6,N633JB,675,JFK,MSY,208,1182,6,38
2013,4,29,1152,-8,1500,-9,DL,N979DL,1174,LGA,PBI,156,1035,11,52
2013,8,13,1623,23,1901,12,B6,N568JB,543,EWR,PBI,138,1023,16,23
2013,10,14,657,-3,938,-27,UA,N401UA,482,EWR,FLL,140,1065,6,57
2013,3,10,556,-4,801,-4,EV,N398CA,5020,LGA,MEM,137,963,5,56
2013,8,28,2315,436,158,399,DL,N3763D,1373,JFK,MIA,134,1089,23,15
2013,3,13,1712,-3,2039,15,DL,N366NW,1779,LGA,FLL,174,1076,17,12
2013,12,13,647,-3,942,-13,AA,N630AA,2493,JFK,MCO,141,944,6,47
2013,9,21,1839,4,2140,6,9E,N909XJ,3325,JFK,DFW,192,1391,18,39
2013,9,30,1224,14,1415,-10,WN,N491WN,482,EWR,DEN,211,1605,12,24
2013,12,21,1535,95,1827,77,UA,N815UA,374,EWR,RSW,152,1068,15,35
2013,12,18,1431,12,1734,20,B6,N565JB,561,LGA,PBI,141,1035,14,31
2013,3,22,1611,14,1815,21,9E,N917XJ,3523,JFK,ORD,128,740,16,11
2013,5,13,1606,26,1721,-15,9E,N905XJ,3523,JFK,ORD,115,740,16,6
2013,1,18,1300,1,1433,-3,UA,N17126,1249,EWR,ORD,130,719,13,0
2013,3,2,1557,-3,1754,-26,MQ,N687MQ,3985,JFK,CVG,90,589,15,57
2013,5,26,1707,-8,1834,-26,AA,N482AA,2019,LGA,STL,131,888,17,7
2013,9,26,1746,16,1904,-12,B6,N374JB,1185,JFK,RDU,61,427,17,46
2013,10,25,1534,14,1900,20,DL,N315NB,1982,LGA,MIA,155,1096,15,34
2013,11,4,1453,-2,1600,-9,DL,N353NW,1164,JFK,BOS,35,187,14,53
2013,12,28,708,-2,836,-4,B6,N659JB,2702,JFK,BUF,60,301,7,8
2013,12,29,555,-5,740,-17,DL,N348NB,731,LGA,DTW,85,502,5,55
2013,3,31,2211,12,2307,8,EV,N13968,4276,EWR,BDL,29,116,22,11
2013,8,13,1718,3,2003,-10,UA,N13716,1219,EWR,DFW,194,1372,17,18
2013,2,19,1444,-6,1628,-17,MQ,N902MQ,4172,JFK,CLE,80,425,14,44
2013,6,21,1850,110,2007,84,UA,N408UA,689,LGA,ORD,101,733,18,50
2013,7,18,539,-6,757,-16,UA,N572UA,698,LGA,IAH,171,1416,5,39
2013,3,24,1913,13,2217,-23,DL,N750AT,87,JFK,LAX,327,2475,19,13
2013,1,22,1342,-8,1530,12,EV,N26545,4171,EWR,MSN,145,799,13,42
2013,4,8,858,-2,1118,-17,UA,N34131,1643,EWR,DEN,231,1605,8,58
2013,4,24,1454,14,1806,13,DL,N905DE,1779,LGA,FLL,150,1076,14,54
2013,12,11,1739,-1,2005,-23,UA,N465UA,587,EWR,LAS,305,2227,17,39
2013,12,1,1716,17,1922,22,DL,N905DL,1518,EWR,DTW,98,488,17,16
2013,1,8,1006,7,1230,-18,B6,N706JB,197,JFK,LAS,309,2248,10,6
2013,1,12,2125,-10,13,-9,B6,N599JB,199,JFK,LAS,321,2248,21,25
2013,5,10,1549,20,1831,11,B6,N804JB,537,EWR,TPA,138,997,15,49
2013,8,30,744,-5,1040,0,B6,N653JB,1717,LGA,TPA,134,1010,7,44
2013,9,10,1859,-6,2127,-7,9E,N918XJ,3285,JFK,MSY,148,1182,18,59
2013,11,9,1646,-9,2014,-1,VX,N838VA,413,JFK,LAX,367,2475,16,46
2013,11,8,2243,-7,2345,-11,B6,N274JB,1816,JFK,SYR,45,209,22,43
2013,9,3,1859,0,2045,-42,DL,N3747D,801,JFK,PHX,271,2153,18,59
2013,5,16,1710,10,1905,35,MQ,N601MQ,4323,JFK,ORF,48,290,17,10
2013,5,6,1635,6,1901,-38,AA,N3DMAA,565,JFK,DFW,182,1391,16,35
2013,1,3,1806,-2,2108,2,UA,N37290,1269,EWR,PBI,153,1023,18,6
2013,4,18,1728,78,1901,63,9E,N604LR,3400,JFK,MKE,114,745,17,28
2013,5,28,1032,-5,1140,-13,EV,N15912,3833,EWR,BUF,52,282,10,32
2013,3,15,2011,31,2142,17,MQ,N512MQ,3783,JFK,CMH,76,483,20,11
2013,2,26,1256,-4,1600,-15,WN,N272WN,298,EWR,HOU,231,1411,12,56
2013,9,6,846,-4,1028,-17,MQ,N5PBMQ,3407,LGA,CMH,68,479,8,46
2013,1,19,755,-5,1051,-33,DL,N364NW,2143,JFK,MIA,155,1089,7,55
2013,9,30,1848,18,2019,9,MQ,N504MQ,3134,EWR,ORD,103,719,18,48
2013,9,7,1538,8,1833,-16,DL,N711ZX,141,JFK,SFO,315,2586,15,38
2013,12,30,816,-9,1004,-6,MQ,N813MQ,3363,JFK,RDU,77,427,8,16
2013,5,9,558,-2,812,-3,FL,N338AT,345,LGA,ATL,104,762,5,58
2013,3,26,802,-2,1004,-22,EV,N12126,4157,EWR,OMA,160,1134,8,2
2013,2,1,756,9,1129,3,B6,N789JB,643,JFK,SFO,369,2586,7,56
2013,5,17,1028,-2,1320,-20,AA,N324AA,19,JFK,LAX,324,2475,10,28
2013,11,8,1250,-10,1414,-20,EV,N750EV,5378,LGA,PIT,57,335,12,50
2013,3,18,831,-9,1029,-1,MQ,N738MQ,4521,LGA,RDU,74,431,8,31
2013,3,19,1437,54,1808,53,UA,N29717,1697,EWR,SFO,369,2565,14,37
2013,10,11,1337,68,1525,60,EV,N21537,3848,EWR,CLT,86,529,13,37
2013,10,16,1155,-5,1509,-6,UA,N590UA,766,JFK,SFO,344,2586,11,55
2013,8,23,1259,-1,1534,-21,VX,N622VA,165,EWR,LAX,314,2454,12,59
2013,2,15,2059,-1,2334,1,DL,N966DL,1247,LGA,ATL,126,762,20,59
2013,10,9,610,-5,814,-7,EV,N16918,4471,EWR,CLT,88,529,6,10
2013,3,13,727,-3,1040,0,AA,N551AA,715,LGA,DFW,221,1389,7,27
2013,4,7,1554,-1,1810,0,WN,N712SW,960,EWR,DEN,234,1605,15,54
2013,7,12,1548,49,1852,66,B6,N351JB,581,JFK,HOU,179,1428,15,48
2013,2,7,1254,14,1547,-8,AA,N5CBAA,2041,JFK,MIA,154,1089,12,54
2013,11,10,828,-2,1202,10,UA,N589UA,443,JFK,LAX,343,2475,8,28
2013,3,30,1816,-4,1922,-37,UA,N594UA,309,EWR,ORD,110,719,18,16
2013,3,25,829,-1,1110,2,DL,N932DL,269,JFK,ATL,120,760,8,29
2013,3,8,2204,124,2330,114,EV,N18114,5681,EWR,RDU,65,416,22,4
2013,5,2,856,-3,1122,-16,DL,N673DL,1747,LGA,ATL,112,762,8,56
2013,3,25,1741,16,2030,13,UA,N33132,1109,EWR,MCO,144,937,17,41
2013,7,7,2300,170,142,145,UA,N39415,1292,EWR,FLL,143,1065,23,0
2013,8,28,2233,77,10,81,B6,N190JB,702,JFK,BUF,56,301,22,33
2013,10,22,2044,19,2350,8,DL,N376DA,2065,JFK,FLL,162,1069,20,44
2013,5,6,1354,9,1546,49,9E,N8905F,3638,JFK,PHL,35,94,13,54
2013,10,27,1547,-13,1842,-25,B6,N563JB,1117,LGA,TPA,142,1010,15,47
2013,1,30,1345,-5,1615,-9,B6,N329JB,615,JFK,JAX,126,828,13,45
2013,4,9,1306,-4,1520,10,MQ,N735MQ,4564,LGA,DTW,94,502,13,6
2013,2,26,554,-6,843,6,DL,N662DN,461,LGA,ATL,132,762,5,54
2013,8,19,855,-10,1045,-29,DL,N314US,181,LGA,DTW,79,502,8,55
2013,3,4,1354,-6,1615,-16,B6,N564JB,615,JFK,JAX,115,828,13,54
2013,5,9,1809,60,2017,72,EV,N18101,4658,EWR,CHS,87,628,18,9
2013,4,11,1911,11,2011,-4,US,N751UW,2187,LGA,DCA,42,214,19,11
2013,5,15,2040,-5,2327,14,B6,N358JB,115,JFK,MSY,166,1182,20,40
2013,2,14,1509,9,1710,15,MQ,N713MQ,4429,LGA,CMH,78,479,15,9
2013,2,20,1636,51,1754,51,9E,N8836A,3658,JFK,BWI,42,184,16,36
2013,6,30,1233,-2,1328,-28,EV,N11140,6054,EWR,IAD,40,212,12,33
2013,12,9,658,-2,1028,13,B6,N648JB,23,JFK,LAX,365,2475,6,58
2013,6,30,2005,70,2324,68,B6,N517JB,669,JFK,SJC,327,2569,20,5
2013,9,17,852,-8,1022,-12,UA,N828UA,235,LGA,ORD,105,733,8,52
2013,3,19,1503,-7,1728,-17,MQ,N624MQ,4309,JFK,IND,108,665,15,3
2013,3,7,555,-10,833,-34,B6,N524JB,501,JFK,FLL,135,1069,5,55
2013,12,23,2013,74,2249,84,EV,N871AS,5567,LGA,CAE,108,617,20,13
2013,5,8,1700,0,1828,-7,MQ,N922MQ,4255,JFK,BNA,116,765,17,0
2013,10,8,2215,100,101,81,UA,N834UA,375,EWR,FLL,149,1065,22,15
2013,12,2,1812,87,2037,114,EV,N13118,4201,EWR,DAY,92,533,18,12
2013,11,11,1927,-3,2144,8,EV,N16561,4370,EWR,CHS,98,628,19,27
2013,6,14,840,40,1027,8,9E,N933XJ,3507,JFK,MSY,142,1182,8,40
2013,9,10,957,-2,1206,-1,US,N753US,2054,LGA,CLT,86,544,9,57
2013,12,30,618,-7,941,-28,US,N657AW,690,EWR,PHX,302,2133,6,18
2013,7,23,1653,69,1818,46,UA,N15710,1542,LGA,CLE,66,419,16,53
2013,3,25,650,45,1000,53,B6,N729JB,501,JFK,FLL,169,1069,6,50
2013,8,6,906,-9,1134,19,MQ,N528MQ,3565,LGA,CLT,83,544,9,6
2013,3,21,2244,-1,2352,-4,B6,N296JB,128,JFK,BTV,49,266,22,44
2013,3,29,1238,-3,1521,-29,UA,N481UA,749,LGA,IAH,201,1416,12,38
2013,11,16,1213,-7,1338,-17,MQ,N853MQ,3361,JFK,RDU,67,427,12,13
2013,4,22,930,28,1151,23,UA,N17128,1643,EWR,DEN,230,1605,9,30
2013,3,1,2001,-4,2228,-2,9E,N8869B,4033,LGA,TYS,93,647,20,1
2013,5,14,1757,28,2109,-1,UA,N75410,1532,EWR,SFO,332,2565,17,57
2013,11,8,2001,1,2124,7,9E,N836AY,2950,JFK,BWI,38,184,20,1
2013,9,15,727,-3,816,-17,US,N944UW,1736,LGA,PHL,29,96,7,27
2013,2,19,902,18,1221,30,UA,N536UA,559,EWR,FLL,173,1065,9,2
2013,2,4,1842,92,1940,80,EV,N22909,4316,EWR,BWI,36,169,18,42
2013,12,20,1216,20,1445,21,FL,N988AT,1280,LGA,ATL,119,762,12,16
2013,8,5,957,-2,1226,-11,B6,N640JB,483,JFK,MCO,125,944,9,57
2013,5,17,2046,-14,2208,-7,US,N748UW,2191,LGA,DCA,38,214,20,46
2013,4,11,1237,-8,1500,-13,UA,N434UA,356,EWR,PHX,289,2133,12,37
2013,8,23,1540,16,1824,17,UA,N45440,1695,EWR,IAH,190,1400,15,40
2013,10,24,728,-7,1047,12,AA,N3ALAA,2279,LGA,MIA,167,1096,7,28
2013,8,16,951,-9,1053,-28,US,N742PS,2175,LGA,DCA,41,214,9,51
2013,6,7,1105,-5,1226,-25,EV,N611QX,5273,LGA,PIT,55,335,11,5
2013,9,24,1944,154,2057,142,MQ,N848MQ,3365,JFK,DCA,42,213,19,44
2013,12,3,1759,-1,2057,11,DL,N902DE,2147,LGA,ATL,120,762,17,59
2013,7,19,1758,-2,1906,-7,US,N958UW,2138,LGA,BOS,45,184,17,58
2013,11,23,1820,-5,1944,-16,WN,N956WN,4128,EWR,MDW,121,711,18,20
2013,7,15,918,-2,1143,-27,AA,N4XBAA,1223,EWR,DFW,165,1372,9,18
2013,11,21,2101,26,2225,15,WN,N260WN,168,LGA,MDW,119,725,21,1
2013,9,1,1150,0,1411,-19,UA,N14102,1519,EWR,MCO,121,937,11,50
2013,6,22,1331,2,1616,-20,UA,N79402,1284,EWR,SFO,324,2565,13,31
2013,4,4,529,-1,829,5,UA,N537UA,448,LGA,IAH,208,1416,5,29
2013,3,14,1354,-6,1608,-23,B6,N535JB,615,JFK,JAX,117,828,13,54
2013,10,4,915,-5,1230,10,VX,N622VA,407,JFK,LAX,335,2475,9,15
2013,10,26,2000,75,2141,67,9E,N927XJ,3320,JFK,BUF,60,301,20,0
2013,9,4,826,1,1124,-24,UA,N560UA,397,JFK,SFO,323,2586,8,26
2013,9,11,2113,43,2305,14,EV,N611QX,5209,LGA,CHS,86,641,21,13
2013,7,4,905,-5,1050,-18,EV,N166PQ,5222,EWR,DTW,81,488,9,5
2013,4,9,1832,50,2149,54,UA,N57863,1165,EWR,LAX,332,2454,18,32
2013,1,30,2134,199,2326,169,9E,N909XJ,3424,JFK,DTW,85,509,21,34
2013,6,20,1952,57,2133,43,MQ,N8EGMQ,3349,LGA,MSP,136,1020,19,52
2013,8,27,1928,-4,2212,-16,B6,N665JB,225,JFK,TPA,125,1005,19,28
2013,8,29,857,-2,1108,0,EV,N15986,4087,EWR,IND,100,645,8,57
2013,10,2,815,-7,948,-26,EV,N11547,4691,EWR,DAY,81,533,8,15
2013,9,8,723,-7,817,-16,US,N949UW,1736,LGA,PHL,34,96,7,23
2013,12,31,602,-3,708,-15,EV,N14543,6177,EWR,IAD,45,212,6,2
2013,6,5,652,-8,748,-18,US,N953UW,2116,LGA,BOS,35,184,6,52
2013,12,23,2024,-4,2211,-5,EV,N12900,3268,LGA,CLE,75,419,20,24
2013,5,26,1931,-4,2036,-26,EV,N17196,4191,EWR,BNA,107,748,19,31
2013,12,2,804,-1,1109,4,DL,N333NB,2395,LGA,PBI,156,1035,8,4
2013,2,15,1316,-10,1507,-23,EV,N12195,4360,EWR,MSP,148,1008,13,16
2013,4,28,1759,-1,1910,-34,UA,N808UA,994,EWR,ORD,104,719,17,59
2013,10,9,1738,-4,1928,-12,EV,N14959,4382,EWR,DTW,75,488,17,38
2013,12,26,657,-3,1018,-33,UA,N512UA,821,JFK,SFO,350,2586,6,57
2013,11,7,2018,104,2231,91,9E,N279PQ,2923,JFK,MSP,152,1029,20,18
2013,11,12,932,-8,1125,5,AA,N468AA,317,LGA,ORD,113,733,9,32
2013,5,28,1431,1,1558,-3,FL,N910AT,721,LGA,CAK,63,397,14,31
2013,6,30,819,-1,1034,-8,9E,N819AY,4248,JFK,CHS,104,636,8,19
2013,12,30,803,3,1131,-12,DL,N3753,2165,JFK,PHX,309,2153,8,3
2013,6,20,1654,-11,1836,-19,AA,N4XPAA,345,LGA,ORD,107,733,16,54
2013,6,23,1414,3,1653,-9,B6,N559JB,1883,JFK,MCO,131,944,14,14
2013,9,4,1057,-3,1305,-24,DL,N317NB,914,LGA,DEN,214,1620,10,57
2013,10,21,1328,8,1617,-8,UA,N443UA,436,EWR,FLL,153,1065,13,28
2013,3,13,725,-5,935,-30,WN,N473WN,2692,LGA,DEN,221,1620,7,25
2013,11,25,513,-2,801,-7,UA,N68802,1487,EWR,IAH,212,1400,5,13
2013,4,19,1333,51,1609,41,B6,N637JB,991,JFK,PBI,144,1028,13,33
2013,5,14,810,-10,944,-16,MQ,N725MQ,4521,LGA,RDU,70,431,8,10
2013,8,25,657,-3,926,-25,B6,N552JB,23,JFK,LAX,295,2475,6,57
2013,5,14,1926,-4,2033,-21,EV,N826AS,5769,LGA,IAD,46,229,19,26
2013,7,6,1603,-2,1911,-10,DL,N3753,1394,JFK,PDX,321,2454,16,3
2013,2,12,1310,-5,1509,5,US,N165US,1643,EWR,CLT,93,529,13,10
2013,3,18,942,12,1233,33,9E,N8946A,4065,LGA,SDF,116,659,9,42
2013,9,23,1954,-6,2203,-8,EV,N12922,4361,EWR,TYS,86,631,19,54
2013,1,11,1829,-1,2145,-20,AA,N3GJAA,269,JFK,SEA,337,2422,18,29
2013,3,18,2147,142,9,161,9E,N8665A,3899,JFK,CLE,77,425,21,47
2013,3,25,1306,6,1415,9,B6,N283JB,1006,JFK,BOS,35,187,13,6
2013,12,6,921,-7,1044,2,UA,N824UA,373,EWR,BOS,47,200,9,21
2013,7,6,1035,5,1158,-9,EV,N18114,4662,EWR,RDU,66,416,10,35
2013,5,6,1814,-6,1935,-26,9E,N800AY,4277,JFK,ORF,49,290,18,14
2013,3,28,1844,-1,2202,-8,B6,N595JB,171,JFK,SMF,340,2521,18,44
2013,8,7,1055,-5,1233,-20,EV,N538CA,5545,EWR,DTW,76,488,10,55
2013,3,19,1745,30,2121,57,DL,N337NW,1779,LGA,FLL,162,1076,17,45
2013,6,12,1514,23,1655,5,EV,N11181,4111,EWR,CHS,85,628,15,14
2013,6,17,1909,49,2313,92,DL,N941DL,83,JFK,MIA,155,1089,19,9
2013,2,3,1957,-3,2203,-21,9E,N907XJ,3439,JFK,CVG,96,589,19,57
2013,6,27,1250,0,1422,-3,MQ,N828MQ,3361,JFK,RDU,76,427,12,50
2013,4,7,1410,-5,1628,-3,DL,N329NB,935,EWR,ATL,109,746,14,10
2013,10,18,2225,75,48,67,EV,N14923,5811,EWR,JAX,122,820,22,25
2013,6,21,845,-5,1008,-5,EV,N16981,5824,EWR,RIC,52,277,8,45
2013,4,3,1722,-7,1929,-8,EV,N48901,4104,EWR,CVG,103,569,17,22
2013,4,2,1456,-9,1642,12,MQ,N9EAMQ,3823,JFK,DCA,60,213,14,56
2013,4,24,1449,-6,1702,-17,B6,N323JB,119,JFK,MSY,173,1182,14,49
2013,6,26,1451,-4,1631,-4,MQ,N663MQ,3231,JFK,PIT,65,340,14,51
2013,3,17,1824,0,2005,0,UA,N35260,1217,EWR,CLE,72,404,18,24
2013,12,15,1318,8,1622,16,B6,N519JB,505,EWR,FLL,168,1065,13,18
2013,1,28,856,36,1004,25,9E,N8877A,4051,JFK,BWI,41,184,8,56
2013,8,19,2133,-7,2302,-8,MQ,N527MQ,3317,LGA,RDU,66,431,21,33
2013,3,27,1829,180,2057,162,UA,N409UA,987,EWR,LAS,301,2227,18,29
2013,9,4,747,-11,943,-37,UA,N559UA,561,LGA,DEN,205,1620,7,47
2013,3,15,858,-2,1152,-28,AA,N5EFAA,647,JFK,MIA,143,1089,8,58
2013,12,17,1757,-2,2126,3,UA,N518UA,535,JFK,LAX,334,2475,17,57
2013,9,12,553,-7,701,-15,EV,N825AS,5747,LGA,IAD,47,229,5,53
2013,3,14,1722,3,1939,-9,UA,N561UA,509,LGA,DEN,216,1620,17,22
2013,5,31,1247,-3,1513,-27,AA,N3BPAA,745,LGA,DFW,190,1389,12,47
2013,9,25,2050,-4,2326,-32,B6,N523JB,1295,JFK,AUS,195,1521,20,50
2013,4,13,2158,13,42,-6,B6,N624JB,11,JFK,FLL,149,1069,21,58
2013,2,24,1822,-7,2034,2,US,N179UW,1973,EWR,CLT,84,529,18,22
2013,2,23,2016,-4,2310,-8,UA,N76523,1109,EWR,PBI,157,1023,20,16
2013,9,23,950,-5,1058,-12,B6,N183JB,586,JFK,ROC,51,264,9,50
2013,8,31,2001,2,2233,-30,UA,N75410,1730,EWR,FLL,137,1065,20,1
2013,9,13,1037,-8,1318,-31,UA,N39416,1479,EWR,LAX,319,2454,10,37
2013,1,2,1126,1,1333,8,WN,N258WN,316,LGA,STL,162,888,11,26
2013,9,22,2128,28,2251,9,EV,N12924,4348,EWR,CLE,66,404,21,28
2013,6,4,2353,-6,349,4,B6,N637JB,701,JFK,SJU,217,1598,23,53
2013,4,29,657,-3,807,2,US,N959UW,2116,LGA,BOS,39,184,6,57
2013,6,9,1050,-11,1318,-16,B6,N763JB,711,JFK,LAS,291,2248,10,50
2013,11,21,1423,-6,1647,-16,B6,N284JB,477,JFK,JAX,119,828,14,23
2013,1,4,1130,7,1427,2,B6,N659JB,1,JFK,FLL,156,1069,11,30
2013,1,3,1123,-2,1603,-17,DL,N3756,315,JFK,SJU,189,1598,11,23
2013,11,8,2001,26,2209,20,9E,N272PQ,2911,JFK,CVG,97,589,20,1
2013,8,18,2037,27,2230,11,EV,N21197,4543,EWR,DSM,142,1017,20,37
2013,10,10,1953,48,2234,29,AA,N528AA,1691,EWR,DFW,188,1372,19,53
2013,5,6,916,1,1222,-13,VX,N854VA,161,EWR,LAX,324,2454,9,16
2013,6,14,1510,11,1742,5,DL,N659DL,451,LGA,ATL,98,762,15,10
2013,10,4,1906,-1,2051,18,EV,N11539,4191,EWR,BNA,105,748,19,6
2013,4,14,1700,0,2010,37,DL,N672DL,1499,LGA,ATL,126,762,17,0
2013,7,5,1908,19,2144,-1,UA,N36476,1417,EWR,PBI,137,1023,19,8
2013,3,22,1940,10,2122,-7,9E,N930XJ,3444,JFK,RDU,66,427,19,40
2013,11,20,655,25,1022,4,US,N534UW,495,JFK,PHX,296,2153,6,55
2013,2,16,820,-2,947,-5,EV,N16999,4422,EWR,PIT,59,319,8,20
2013,3,19,1048,-2,1237,-13,MQ,N521MQ,4589,LGA,DTW,80,502,10,48
2013,4,9,632,-8,1021,-19,AA,N3ATAA,413,JFK,SJU,194,1598,6,32
2013,12,16,1236,-9,1422,-27,DL,N939DL,1131,LGA,DTW,88,502,12,36
2013,9,8,1629,-11,1803,-23,9E,N910XJ,3315,LGA,RIC,47,292,16,29
2013,2,7,1139,-6,1457,4,DL,N332NB,1174,LGA,PBI,153,1035,11,39
2013,6,12,2021,-4,2315,-9,UA,N518UA,771,JFK,LAX,310,2475,20,21
2013,3,11,2022,-3,2126,-23,DL,N369NW,985,JFK,BOS,40,187,20,22
2013,6,29,2241,-4,2338,-21,B6,N231JB,1816,JFK,SYR,39,209,22,41
